ProjectName,Is ML producer,where,keyword,line_number,libraries,keywords
cmpe295/python,Yes,../repos/repos2/cmpe295/python/models/SGDRegression.py,,60,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/models/SGDClassifier.py,,44,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/models/LassoRegression.py,,66,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/models/SVMClassifier.py,,45,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/models/DecisionTreeClassifier.py,,45,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/testing/pandas-test.py,,114,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/testing/hello-sklearn.py,,5,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/testing/stock-predict.py,,83,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/for_fun/prediction1.py,,59,sklearn,.fit(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/SageMaker-BMSG-GAN.ipynb,,67,sagemaker,.fit(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/train.py,,248,torch,.train(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/MSG_GAN/GAN.py,,68,torch,forward(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/MSG_GAN/GAN.py,,183,torch,forward(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/MSG_GAN/GAN.py,,301,torch,.backward(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/MSG_GAN/GAN.py,,324,torch,.backward(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/MSG_GAN/GAN.py,,388,torch,.train(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/MSG_GAN/GAN.py,,389,torch,.train(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/MSG_GAN/CustomLayers.py,,42,torch,forward(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/MSG_GAN/CustomLayers.py,,93,torch,forward(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/MSG_GAN/CustomLayers.py,,139,torch,forward(
