ProjectName,IDPaper,ProjectType,Stars,Size,Forks,Commit Count,Contributors,Project Age,Activity Rate,ContributorNumber
rwightman/posenet-python,ID1,Applied,486,36,184,24.0,1,2211,0.0124675324675324,1.0
sagiebenaim/DistanceGAN,ID1,Applied,195,846,42,23.0,2,2792,0.0092929292929292,2.0
kylemath/DeepEEG,ID1,Applied,260,20090,58,288.0,2,2188,0.1494551115723923,2.0
tevora-threat/Dragnet,ID1,Applied,172,1342,28,52.0,2,2358,0.024928092042186,2.0
rajveermalviya/language-modeling,ID1,Applied,49,19037,17,39.0,1,2390,0.0196870267541645,1.0
mafda/generative_adversarial_networks_101,ID1,Applied,200,16918,79,162.0,1,2415,0.0755244755244755,1.0
YunYang1994/SphereFace,ID1,Applied,112,53399,28,77.0,2,2364,0.0366143604374702,2.0
ColasGael/Machine-Learning-for-Solar-Energy-Prediction,ID1,Applied,215,967110,99,11.0,1,2454,0.0050205385668644,1.0
bryanlimy/tf2-transformer-chatbot,ID1,Applied,130,1611,60,72.0,3,2111,0.0396694214876033,3.0
ultralytics/wave,ID1,Applied,15,967,5,219.0,3,2452,0.1003666361136571,3.0
Seanny123/da-rnn,ID1,Applied,329,6555,121,24.0,1,2310,0.0117130307467057,1.0
lsds/Crossbow,ID1,Applied,55,609,6,69.0,2,2213,0.0363732208750658,2.0
dgodinez77/LIA,ID1,Applied,12,191585,6,552.0,6,2932,0.2163857310858487,6.0
swechhachoudhary/Handwriting-synthesis,ID2,Applied,202,273303,29,150.0,1,2096,0.0828271673108779,1.0
foolwood/SiamMask,ID1,Applied,3450,7080,814,12.0,3,2152,0.0063458487572712,3.0
ykwang11/TSN-Tensorflow-unofficial,ID1,Applied,25,134,6,63.0,1,2438,0.0290322580645161,1.0
noahfl/densenet-sdr,ID1,Applied,141,106,15,79.0,3,2446,0.0363051470588235,3.0
cgorman/tensorflow-som,ID1,Applied,77,102,34,20.0,4,2538,0.0088731144631765,4.0
TomaszRewak/Face-Landmarking,ID1,Applied,70,25464,6,89.0,1,2582,0.0389326334208224,1.0
MikhailStartsev/deep_em_classifier,ID1,Applied,52,1228,14,22.0,1,2250,0.0111223458038422,1.0
ModelZoo/ModelZoo,ID1,Applied,167,104,23,56.0,1,2302,0.0283831728332488,1.0
lsaiml/CaVINet,ID1,Applied,32,344120,6,10.0,0,2386,0.0051652892561983,1.0
gregversteeg/corex_topic,ID1,Applied,625,15265,118,98.0,6,3387,0.0314001922460749,6.0
hujinsen/StarGAN-Voice-Conversion,ID1,Applied,270,7500,55,42.0,3,2273,0.021021021021021,3.0
Atomu2014/product-nets,ID1,Applied,375,4797,127,40.0,2,3051,0.0144875045273451,2.0
microsoft/snca.pytorch,ID1,Applied,136,23,24,12.0,5,2354,0.0060944641950228,5.0
microsoft/human-pose-estimation.pytorch,ID1,Applied,2907,74,598,38.0,11,2367,0.0180436847103513,11.0
microsoft/pai,ID1,Applied,2597,73991,543,4518.0,30,2677,1.873911240149316,83.0
McGill-DMaS/Kam1n0-Community,ID1,Applied,602,485299,132,37.0,5,3424,0.0117274167987321,5.0
ElmiiiRaa/machine-translation,ID1,Applied,10,5849,1,31.0,2,2216,0.017051705170517,2.0
jasonwu0731/trade-dst,ID1,Applied,393,850,115,21.0,2,2076,0.0120898100172711,2.0
soskek/bert-chainer,ID1,Applied,219,121,40,22.0,2,2294,0.0108588351431391,2.0
michellebonat/tf_text_classify,ID1,Applied,11,17,7,29.0,1,2380,0.1394230769230769,1.0
generall/EntityCategoryPrediction,ID1,Applied,29,2030,3,91.0,2,2114,0.0526011560693641,2.0
zuoxingdong/dm2gym,ID1,Applied,81,13,8,13.0,2,2111,0.0071625344352617,2.0
omegaml/omegaml,ID1,Applied,94,85541,14,429.0,5,2236,0.2176560121765601,5.0
wmylxmj/Face-Recognition,ID1,Applied,8,874,2,83.0,1,2147,0.0896328293736501,1.0
