ProjectName,IDPaper_x,ProjectType_x,Stars,Size,Forks,Commit Count,Contributors,Project Age,Activity Rate,ContributorNumber
Mugen87/yuka,ID1,Tool,1047.0,42263.0,86.0,715.0,6.0,2757.0,0.2869181380417335,6.0
mwydmuch/ViZDoom,ID1,Tool,1671.0,60660.0,395.0,1805.0,30.0,3499.0,0.55778739184178,47.0
MycroftAI/enclosure-picroft,ID1,Tool,803.0,427.0,192.0,159.0,17.0,2930.0,0.0598870056497175,17.0
Mylittlerapture/GANLib,ID1,Tool,19.0,41309.0,4.0,271.0,2.0,2401.0,0.1953857245854361,2.0
mz24cn/clnet,ID1,Tool,67.0,1003.0,14.0,72.0,1.0,2687.0,0.029987505206164,1.0
mzed/ofxRapidLib,ID1,Tool,27.0,7980.0,4.0,104.0,2.0,2757.0,0.0444634459170585,2.0
nanxstats/enpls,ID1,Tool,18.0,28882.0,8.0,91.0,1.0,3765.0,0.0301524188204108,1.0
nanxstats/msaenet,ID1,Tool,13.0,12153.0,7.0,174.0,1.0,3049.0,0.0624551328068916,1.0
nanxstats/protr,ID1,Tool,51.0,9287.0,12.0,306.0,5.0,4449.0,0.0733637017501798,5.0
Narasimha1997/bzCompute,ID1,Tool,16.0,264.0,0.0,3.0,1.0,2191.0,0.0018963337547408,1.0
NatLibFi/Annif,ID1,Tool,185.0,8473.0,39.0,3000.0,13.0,2712.0,1.2300123001230012,14.0
naver/claf,ID1,Tool,215.0,9024.0,37.0,170.0,5.0,2159.0,0.0958286358511837,5.0
NaxAlpha/xgan,ID1,Tool,15.0,50945.0,0.0,11.0,2.0,2088.0,0.0065907729179149,2.0
ne7ermore/torch-light,ID1,Tool,532.0,59097.0,201.0,168.0,1.0,2782.0,0.0666666666666666,1.0
neka-nat/tensorboard-chainer,ID1,Tool,40.0,5318.0,10.0,108.0,4.0,2729.0,0.0485175202156334,4.0
neo4j-graph-analytics/ml-models,ID1,Tool,64.0,3193.0,23.0,73.0,3.0,2463.0,0.0343045112781954,3.0
neptune-ml/neptune-client,ID1,Tool,538.0,11074.0,57.0,2065.0,30.0,2173.0,1.080020920502092,38.0
neptune-ml/neptune-lib,ID1,Tool,5.0,110.0,2.0,46.0,3.0,2207.0,0.0450097847358121,3.0
NervanaSystems/neon,ID1,Tool,3870.0,9003.0,810.0,1118.0,30.0,3752.0,0.3203438395415472,74.0
neurodata/knorR,ID1,Tool,8.0,481.0,3.0,170.0,1.0,2814.0,0.1119157340355497,1.0
neuronets/nobrainer,ID1,Tool,145.0,2432.0,45.0,989.0,17.0,2778.0,0.3930842607313196,17.0
ngageoint/hootenanny,ID1,Tool,346.0,427282.0,74.0,9965.0,30.0,3512.0,3.0680418719211824,43.0
nicholasjclark/MRFcov,ID1,Tool,23.0,3676.0,5.0,212.0,1.0,2572.0,0.1001417099669343,1.0
nickgillian/grt,ID1,Tool,850.0,14428.0,284.0,897.0,16.0,4038.0,0.2379310344827586,16.0
nicklhy/DLInfBench,ID1,Tool,52.0,22977.0,11.0,93.0,2.0,2821.0,0.039124947412705,2.0
nielstron/quantulum3,ID1,Tool,130.0,143123.0,62.0,622.0,12.0,2352.0,0.2988947621335896,12.0
niessner/mLib,ID1,Tool,88.0,5250.0,45.0,1251.0,10.0,3084.0,0.4604343025395657,10.0
NIHOPA/NLPre,ID1,Tool,186.0,53485.0,34.0,424.0,2.0,2855.0,0.1682539682539682,2.0
niiknow/bayes,ID1,Tool,65.0,49.0,13.0,27.0,4.0,2709.0,0.0112734864300626,4.0
nikitakit/self-attentive-parser,ID1,Tool,842.0,85224.0,153.0,99.0,2.0,2463.0,0.0450204638472032,2.0
nikitautiu/learnhtml,ID1,Tool,32.0,31105.0,9.0,155.0,2.0,2746.0,0.0759803921568627,2.0
nilearn/nilearn,ID1,Tool,1108.0,44272.0,572.0,10290.0,30.0,5128.0,2.117283950617284,197.0
nipy/dipy,ID1,Tool,670.0,73661.0,427.0,14063.0,30.0,5465.0,2.702344350499616,146.0
NirantK/nlp-python-deep-learning,ID1,Tool,561.0,3302.0,231.0,119.0,3.0,2510.0,0.0533871691341408,3.0
nlgranger/SeqTools,ID1,Tool,46.0,1631.0,4.0,115.0,1.0,2773.0,0.0489778534923339,1.0
nlpub/hyperstar,ID1,Tool,24.0,171.0,6.0,166.0,2.0,3054.0,0.0713058419243986,2.0
nltk/nltk,ID1,Tool,13058.0,354263.0,2819.0,14511.0,30.0,5617.0,2.709297983569828,364.0
nokitjs/nokit,ID1,Tool,60.0,10846.0,13.0,647.0,1.0,3918.0,0.1792243767313019,1.0
